id;y;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;X15;X16;X17;X18;X19;X20;X21;X22;X23;X24;X25;X26;X27;X28;X29;X30;X31;X32;X33;X34;X35;X36;X37;X38;X39;X40;X41;X42;X43;X44;X45;X46;X47;X48;X49;X50
1;3.789098377;-0.626453811;-0.199046495;0.561391023;0.195448665;-0.572336108;0.321456762;-0.788789769;0.431573503;0.551343077;0.885830499;0.078240017;0.665177517;0.251287828;0.810440202;-0.783874835;-0.099027559;-0.149115272;-0.805146101;0.539814589;-0.076731036;-0.8080356;-1.584845061;-1.744032214;-1.721769787;-2.046894641;-2.538157648;-1.600815805;-0.96958549;-0.268681455;-0.289122149;-0.626157253;-1.280350323;-0.67543604;-0.698632643;-0.424714202;-1.19521707;-0.846872447;-0.177590962;0.658034083;0.864931688;0.823122171;0.789785675;1.700614003;0.38452164;0.925801613;-0.110698053;-0.562645935;0.3110021;0.95923768;0.05158416
2;1.429142224;0.183643324;1.254817171;2.194970654;2.639988411;0.772150927;1.314586979;2.257993424;1.811840167;1.367293507;1.410019916;-0.213937166;0.374830952;0.939487888;1.225733142;0.863448396;0.903303934;1.243986113;0.651515504;-0.050430094;-0.200999518;0.354957348;0.946405334;1.004891443;-0.189245797;0.635559798;0.892807632;1.758541525;1.94935198;1.332064333;0.796820891;-0.13619798;-0.007337133;-0.139856477;0.521215619;0.787824951;1.220544112;1.213185911;-0.052402377;-0.062786934;-0.295872608;-0.770535284;-1.238368388;-1.08148831;-0.465512382;-1.358592689;-1.64481635;-1.270086494;-0.815181312;-1.206400616;-1.687793576
3;4.166534222;-0.835628612;0.422708148;-0.081814116;0.288082119;0.874378626;0.079818703;-1.168313329;-1.063122;-1.375074459;-1.128354584;0.225065404;-0.301894841;-0.15885955;-0.061637976;0.454036406;1.198013434;0.775757731;0.426464327;-0.798135788;-1.004470462;-0.375863573;-1.750984884;-1.554939092;-1.084551357;-1.127031385;-1.955294557;-0.598860363;-1.922772022;-1.159156503;-0.553658305;-1.850785547;-1.738473459;-0.692676577;-1.159760247;-1.483866584;-0.544060505;-0.514248588;-0.303766805;0.307207957;-0.256849244;-1.159417463;1.364054103;1.012995087;1.423776728;1.875698622;1.467235865;3.057050578;1.78058802;0.579437261;-0.35095393
4;5.509822335;1.595280802;0.977585665;0.474654486;0.714616737;0.528116722;0.535473383;-0.991461366;-1.251116462;-0.711596271;0.46307755;0.690772921;-1.260913688;0.035189812;0.048088162;-1.00947927;-1.288613347;-0.021892497;0.770882856;1.564329209;1.242001946;0.037439963;-1.055724027;-0.435159071;-0.707591046;0.556914566;1.198037805;1.014840398;0.247679689;0.555119461;0.608132095;0.435394038;0.549872979;-0.493701894;-1.221038122;-1.116860101;-0.13599824;0.458036175;-0.725173142;-1.117373015;-0.80203467;0.512328804;0.648544968;0.67669192;1.009476791;0.545658925;0.873144454;0.397688348;0.242229163;0.688887573;1.226565743
5;4.785675478;0.329507772;-1.2644104;-1.223612796;-1.008110525;-1.152699796;-0.818623941;-0.15251683;-0.495643191;-0.489063364;-0.551690987;-0.450709498;-0.713098476;-0.164386473;0.903828741;1.145670784;-0.200784153;1.226371621;1.277427226;1.423479952;0.538077026;-0.939085266;-0.468022276;-0.885840036;-0.598867872;-0.666402567;0.239457065;-0.28361323;-0.259229948;-0.755646348;-0.857095861;-0.815059298;-0.538741661;-1.402565275;-0.185009787;-0.645886151;-0.716304108;-0.553725485;0.153177043;0.125311983;-0.320352649;-1.261738989;0.601500582;0.302491049;0.542849513;0.781383141;1.03146438;0.296067032;-0.612028792;-1.167151944;-1.511485604
6;0.887736983;-0.820468384;1.036696568;0.529048397;-0.355092473;-0.384020885;-1.387754509;-0.440597824;-0.935568627;-0.09220566;1.272068858;1.414688595;1.9203557;1.534489228;-0.439810387;-1.021713605;-0.148997709;-0.487107704;-0.424373701;-0.955042226;0.159266166;0.510014542;0.399895953;-0.020486005;0.729113487;0.647983591;-0.332697679;0.328618446;1.080331756;1.070332844;0.321011379;0.594251065;1.445636945;1.140540192;0.200557533;-0.998655289;-0.835484752;-0.356010058;0.682341697;0.733085048;0.679870384;0.383642822;1.613019526;0.947164728;0.401660531;-0.304865898;0.608435442;-1.355335324;-0.944751263;-1.263499241;-0.307252502
7;3.290631466;0.487429052;0.806794586;0.362592363;-0.717981542;-0.82024633;-0.078864512;-0.188782393;0.103086308;0.276370743;-0.583629741;-0.402325011;-0.427609784;0.889506759;0.777807988;0.754761872;1.760687157;0.601032121;-0.020281592;-0.807307461;-0.584867495;-1.373308548;-1.127666997;-1.514556821;-1.081373352;-0.311626317;-1.047397099;-1.308731885;-1.050372904;-0.298565144;0.545677088;0.039223457;0.035761892;0.792167351;0.522145594;0.561246814;0.925999714;0.598310799;-0.295703617;-0.885050382;0.458094006;1.015731363;2.15804351;2.809695398;2.892083523;2.413445146;0.854291612;0.137983797;-0.145109884;-0.070932859;0.973179836
8;-1.31508833;0.738324705;0.911797906;0.488276178;0.218451418;0.82306638;-0.647598064;-0.622497443;-1.437655039;-0.619609052;0.403309907;-0.56418864;-0.845170784;-0.290990173;-0.484885866;-0.364778802;-0.310957741;0.640547807;0.813915184;0.609856028;-0.087377218;0.999607904;1.284221626;1.041959463;0.87652243;1.272050604;1.349439479;1.377535098;0.458878363;0.63159527;0.744329177;1.622083764;1.108624011;0.771470202;0.18815958;-0.481422839;-0.687755065;-0.140046117;0.912959357;0.423237217;-0.143864228;0.253991796;-0.383151046;0.019479132;-0.357096698;-0.281883833;0.724798334;0.636823478;0.722869826;0.479651261;0.320567064
9;5.900637186;0.575781352;0.422973062;1.270904357;2.277191085;2.189195632;0.817246845;1.092506113;-0.335068851;-0.036022207;-0.373615047;-1.684487487;-2.609645508;-1.499602322;-2.279468804;-2.487156876;-0.617954571;0.011553487;-0.061872642;0.417268862;-0.260350736;1.022075268;0.386802511;-0.831189431;-1.0514402;-0.000973981;0.196949739;0.366336821;0.29873117;0.526944079;0.246733426;0.553232657;0.888305094;0.000980427;0.359255865;1.347145947;1.746777779;1.219936502;1.162886812;1.11986927;0.537059182;0.902281813;0.226570035;0.017299047;0.382994578;0.435717527;-0.721613157;-0.059221989;0.591025688;0.262079177;-0.462210123
10;2.067450811;-0.305388387;0.108363717;-0.380105425;-0.138435778;-1.245885624;-0.27419711;0.719517795;0.098206775;0.343555464;0.491980624;0.231354418;-0.226238925;-0.151152296;-0.572298309;0.724739727;1.587557302;1.6665754;-0.459020865;-0.507866491;-1.209404707;-0.002009533;0.38372057;0.401430936;0.849300075;0.795191231;0.523543076;-0.147988016;0.425377107;0.019976813;0.056313722;0.16501302;0.576793379;-0.057908804;0.211421376;-0.00074483;0.964454511;0.759483802;0.652124977;0.111248415;-0.134574351;-0.378605139;0.272033241;0.834504421;0.701612893;-0.083928385;0.099606811;-0.379564428;-0.275005011;0.445790972;0.298012709
